epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,12856,1.02557,0.45649,0.89509,0.8833,0.82693,0.87006,0.5021,1.47202,0.6116,1.12263,0.0007328,0.0007328,0.0007328
98,13102.8,1.03015,0.46126,0.89356,0.88239,0.82518,0.87137,0.49718,1.49378,0.62059,1.11709,0.0007196,0.0007196,0.0007196
99,13155.4,1.02226,0.45713,0.8953,0.87584,0.83258,0.87094,0.50075,1.4851,0.61274,1.12511,0.0007064,0.0007064,0.0007064
100,13272.8,1.00798,0.45104,0.8939,0.88385,0.82541,0.87016,0.50161,1.4784,0.61909,1.12276,0.0006932,0.0006932,0.0006932
101,13329.2,1.01156,0.45215,0.8924,0.88809,0.82019,0.87071,0.50115,1.47757,0.61966,1.12598,0.00068,0.00068,0.00068
102,13408.6,1.01624,0.45195,0.89145,0.88909,0.82408,0.86901,0.50116,1.47927,0.61003,1.12225,0.0006668,0.0006668,0.0006668
103,13468.2,1.01698,0.45268,0.89432,0.87879,0.82911,0.86935,0.49917,1.48373,0.61534,1.12786,0.0006536,0.0006536,0.0006536
104,13655.7,1.01128,0.45172,0.8905,0.88122,0.83049,0.8701,0.50083,1.48117,0.61899,1.12316,0.0006404,0.0006404,0.0006404
105,13773.3,1.01384,0.45232,0.89304,0.88825,0.82054,0.87059,0.50084,1.47977,0.61606,1.12007,0.0006272,0.0006272,0.0006272
106,14303,1.00668,0.44742,0.89159,0.88571,0.82637,0.86974,0.50144,1.481,0.61425,1.12861,0.000614,0.000614,0.000614
107,14467.6,1.00033,0.44668,0.89006,0.889,0.81639,0.86241,0.49658,1.48696,0.61846,1.12887,0.0006008,0.0006008,0.0006008
108,14539.8,0.99045,0.44091,0.88716,0.88497,0.82387,0.86504,0.49897,1.48715,0.61918,1.12904,0.0005876,0.0005876,0.0005876
109,14597.8,0.98731,0.44143,0.88562,0.88617,0.82311,0.86381,0.49736,1.48833,0.6179,1.12819,0.0005744,0.0005744,0.0005744
110,14663.4,1.00018,0.44849,0.88987,0.88122,0.82576,0.86829,0.49984,1.4853,0.61685,1.13203,0.0005612,0.0005612,0.0005612
111,14713.4,0.99277,0.44364,0.88522,0.88432,0.81985,0.86311,0.49731,1.48704,0.61631,1.12828,0.000548,0.000548,0.000548
112,14779,0.98784,0.44047,0.88563,0.88458,0.82449,0.86417,0.49839,1.48533,0.61873,1.12625,0.0005348,0.0005348,0.0005348
113,14971.1,0.98833,0.4422,0.88928,0.87855,0.8267,0.86901,0.5003,1.48449,0.61984,1.12786,0.0005216,0.0005216,0.0005216
114,15022.5,0.97406,0.43549,0.88272,0.88231,0.82598,0.86958,0.49835,1.48959,0.61751,1.13255,0.0005084,0.0005084,0.0005084
115,15114.7,0.97616,0.43764,0.88261,0.88565,0.81804,0.86387,0.49737,1.49117,0.61801,1.12877,0.0004952,0.0004952,0.0004952
116,15192,0.98087,0.43798,0.88253,0.88251,0.82368,0.86362,0.49955,1.47913,0.61551,1.12589,0.000482,0.000482,0.000482
117,15334.8,0.98085,0.43894,0.88507,0.88307,0.8269,0.87074,0.50063,1.48574,0.61637,1.13247,0.0004688,0.0004688,0.0004688
118,15733.4,0.97109,0.43483,0.88131,0.88275,0.82677,0.87016,0.50037,1.48615,0.61693,1.13243,0.0004556,0.0004556,0.0004556
119,15912.1,0.98048,0.43818,0.88073,0.88121,0.82663,0.86913,0.49845,1.48784,0.6152,1.13212,0.0004424,0.0004424,0.0004424
120,16038,0.96281,0.43124,0.88219,0.88109,0.82517,0.86824,0.49795,1.48838,0.61553,1.13272,0.0004292,0.0004292,0.0004292
